Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1990,1990,kg/ha,11653.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1991,1991,kg/ha,10193.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1992,1992,kg/ha,10593.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1993,1993,kg/ha,10593.5,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1994,1994,kg/ha,10592.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1995,1995,kg/ha,10667.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1996,1996,kg/ha,10664.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1997,1997,kg/ha,11881.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1998,1998,kg/ha,10746.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,1999,1999,kg/ha,9599.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2000,2000,kg/ha,9700,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2001,2001,kg/ha,9601.2,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2002,2002,kg/ha,9901.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2003,2003,kg/ha,10402.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2004,2004,kg/ha,11001.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2005,2005,kg/ha,10990.2,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2006,2006,kg/ha,12000.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2007,2007,kg/ha,11202.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2008,2008,kg/ha,11800.4,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2009,2009,kg/ha,11767.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2010,2010,kg/ha,12215.5,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2011,2011,kg/ha,11210.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2012,2012,kg/ha,7958.5,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2013,2013,kg/ha,7032.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2014,2014,kg/ha,7655.4,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2015,2015,kg/ha,7265.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2016,2016,kg/ha,9076.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2017,2017,kg/ha,9073.7,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2018,2018,kg/ha,9403.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2019,2019,kg/ha,5827.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2020,2020,kg/ha,5779.5,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2021,2021,kg/ha,5835.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2022,2022,kg/ha,6014.5,E,Estimated value,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,125,Cassava,2023,2023,kg/ha,6345.9,E,Estimated value,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1990,1990,kg/ha,1130.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1991,1991,kg/ha,1129.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1992,1992,kg/ha,1118.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1993,1993,kg/ha,1184.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1994,1994,kg/ha,1272,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1995,1995,kg/ha,1266.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1996,1996,kg/ha,1326.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1997,1997,kg/ha,1251,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1998,1998,kg/ha,1320,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),1999,1999,kg/ha,1599.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2000,2000,kg/ha,1300.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2001,2001,kg/ha,1399.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2002,2002,kg/ha,1489.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2003,2003,kg/ha,1499.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2004,2004,kg/ha,1600.2,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2005,2005,kg/ha,1659.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2006,2006,kg/ha,1818.2,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2007,2007,kg/ha,1704.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2008,2008,kg/ha,1957.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2009,2009,kg/ha,2196.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2010,2010,kg/ha,1850.2,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2011,2011,kg/ha,1627.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2012,2012,kg/ha,1511.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2013,2013,kg/ha,1461.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2014,2014,kg/ha,1700.2,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2015,2015,kg/ha,1718.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2016,2016,kg/ha,1783.7,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2017,2017,kg/ha,1664.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2018,2018,kg/ha,1671.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2019,2019,kg/ha,1857.2,E,Estimated value,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2020,2020,kg/ha,2050.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2021,2021,kg/ha,2053.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2022,2022,kg/ha,2232.6,X,Figure from external organization,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,56,Maize (corn),2023,2023,kg/ha,1939.1,X,Figure from external organization,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1990,1990,kg/ha,10677.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1991,1991,kg/ha,10345.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1992,1992,kg/ha,11348.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1993,1993,kg/ha,11349.4,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1994,1994,kg/ha,11399.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1995,1995,kg/ha,10773.4,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1996,1996,kg/ha,10681.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1997,1997,kg/ha,11047.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1998,1998,kg/ha,9435.4,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,1999,1999,kg/ha,9901.6,A,Official figure,
