Year,annual_rainfall_mm,annual_mean_temp_c,annual_max_temp_c,CO2_Emissions_kt,yield_cassava,yield_maize,yield_yam
1990,37.58166666666667,26.17833333333333,36.545,38786.0,11653.3,1130.1,10677.1
1991,41.38333333333333,26.004722222222224,36.755,41841.0,10193.6,1129.9,10345.3
1992,51.815,25.445555555555558,36.733333333333334,46162.0,10593.1,1118.1,11348.8
1993,52.60166666666667,25.795972222222222,35.975,44705.0,10593.5,1184.8,11349.4
1994,59.38333333333333,25.523055555555555,36.333333333333336,80360.0,10592.8,1272.0,11399.8
1995,63.49666666666667,25.619583333333335,35.85833333333333,84230.0,10667.1,1266.6,10773.4
1996,54.39166666666667,25.765694444444446,35.62,97767.0,10664.6,1326.1,10681.9
1997,52.915,25.694999999999997,35.626666666666665,95649.0,11881.8,1251.0,11047.6
1998,43.255,26.37111111111111,37.81333333333333,86338.0,10746.1,1320.0,9435.4
1999,29.01,26.612083333333334,36.54666666666667,84838.0,9599.8,1599.8,9901.6
2000,56.945,26.14736111111111,37.76,96831.0,9700.0,1300.1,9898.4
2001,40.29666666666667,25.93013888888889,36.63333333333333,100218.0,9601.2,1399.9,9799.0
2002,44.071666666666665,26.306527777777777,37.645,89906.0,9901.3,1489.9,9989.6
2003,41.904999999999994,26.52208333333333,37.61666666666667,100030.0,10402.3,1499.9,10501.1
2004,35.20666666666667,26.73902777777778,37.06166666666667,94962.0,11001.1,1600.2,11200.6
2005,32.9,27.014305555555556,37.34166666666666,101666.0,10990.2,1659.8,11498.1
2006,38.675,26.934861111111115,37.48,90097.0,12000.3,1818.2,12098.8
2007,59.165,26.212777777777777,37.40833333333333,82170.0,11202.6,1704.9,9969.9
2008,40.39,25.96652777777778,36.24166666666667,86489.0,11800.4,1957.1,11499.8
2009,41.64333333333334,26.629166666666666,36.38166666666667,77031.0,11767.9,2196.1,10479.7
2010,49.81166666666667,26.606805555555553,37.406666666666666,112050.0,12215.5,1850.2,13010.9
2011,43.34166666666667,26.183333333333334,36.24166666666667,126115.0,11210.8,1627.1,7403.7
2012,49.07,26.014027777777773,36.62,110125.0,7958.5,1511.8,7201.3
2013,42.115,26.561111111111114,36.52333333333333,117401.0,7032.3,1461.6,7000.1
2014,36.026666666666664,26.748333333333335,36.821666666666665,123971.0,7655.4,1700.2,8194.8
2015,35.49166666666667,26.559861111111108,37.236666666666665,110525.0,7265.9,1718.8,8182.7
2016,45.76166666666666,26.753611111111113,37.919999999999995,116396.0,9076.3,1783.7,9159.9
2017,48.821666666666665,26.682777777777776,37.165,112540.0,9073.7,1664.1,9385.6
2018,49.03333333333333,26.561111111111114,37.225,106786.0,9403.8,1671.6,10199.9
2019,54.723333333333336,26.784583333333334,37.416666666666664,127859.0,5827.1,1857.2,7806.8
2020,55.35166666666667,26.288333333333338,37.11666666666667,124899.0,5779.5,2050.6,7904.7
2021,62.910000000000004,26.436805555555555,37.16833333333333,147777.0,5835.8,2053.8,7986.5
2022,46.053333333333335,25.794861111111114,36.56333333333333,131441.0,6014.5,2232.6,8182.9
2023,40.95166666666666,27.02236111111111,36.95333333333333,129376.0,6345.9,1939.1,8203.4
