Region,Year,annual_rainfall_mm,annual_mean_temp_c,annual_max_temp_c
North Central,1990,35.29,26.151666666666667,36.53
North Central,1991,41.3,26.190833333333334,38.27
North Central,1992,45.94,25.410833333333333,36.81
North Central,1993,45.59,25.761666666666667,36.38
North Central,1994,56.11,25.455,35.79
North Central,1995,59.37,25.53916666666667,35.04
North Central,1996,49.8,25.643333333333334,34.34
North Central,1997,44.42,25.603333333333335,34.79
North Central,1998,42.21,26.391666666666666,38.72
North Central,1999,11.11,27.780833333333334,38.44
North Central,2000,53.69,26.846666666666668,40.62
North Central,2001,28.94,26.10166666666667,37.33
North Central,2002,38.05,26.765833333333333,40.42
North Central,2003,35.13,26.86,40.57
North Central,2004,28.02,27.170833333333334,40.21
North Central,2005,24.16,28.02,40.76
North Central,2006,30.86,27.60166666666667,42.15
North Central,2007,45.64,26.738333333333333,39.66
North Central,2008,40.66,26.180833333333336,37.07
North Central,2009,42.49,26.515,36.97
North Central,2010,39.82,26.760833333333334,37.66
North Central,2011,32.68,26.22,36.89
North Central,2012,42.980000000000004,26.458333333333332,38.06
North Central,2013,24.48,26.993333333333336,38.17
North Central,2014,28.79,27.727500000000003,39.48
North Central,2015,26.84,27.750833333333333,40.03
North Central,2016,39.82,27.441666666666666,40.54
North Central,2017,37.04,27.305000000000003,39.91
North Central,2018,34.269999999999996,27.01,38.71
North Central,2019,41.089999999999996,27.421666666666667,41.2
North Central,2020,42.62,26.6725,38.98
North Central,2021,50.62,26.80666666666667,39.24
North Central,2022,42.98,25.659166666666668,35.27
North Central,2023,43.31,26.723333333333333,37.04
North East,1990,17.5,28.395,43.63
North East,1991,20.4,27.989166666666666,44.59
North East,1992,16.99,27.389166666666668,42.91
North East,1993,17.09,28.03833333333333,42.64
North East,1994,23.740000000000002,27.340833333333332,44.45
North East,1995,25.95,27.309166666666666,43.66
North East,1996,20.220000000000002,27.741666666666664,42.45
North East,1997,22.09,27.55333333333333,42.06
North East,1998,16.37,28.506666666666664,44.82
North East,1999,16.09,28.583333333333332,44.39
North East,2000,11.99,28.329166666666666,45.34
North East,2001,17.02,27.940833333333334,45.27
North East,2002,13.389999999999999,28.74416666666667,45.43
North East,2003,15.27,28.811666666666667,44.94
North East,2004,10.78,29.228333333333335,44.05
North East,2005,17.61,29.083333333333332,44.62
North East,2006,13.46,29.333333333333332,43.27
North East,2007,18.64,28.395833333333332,45.36
North East,2008,25.73,27.501666666666665,43.93
North East,2009,15.360000000000001,28.861666666666668,43.87
North East,2010,23.2,28.30333333333333,45.32
North East,2011,19.41,28.078333333333333,43.88
North East,2012,25.4,27.537499999999998,44.62
North East,2013,20.37,28.479166666666668,43.96
North East,2014,19.5,28.278333333333332,43.68
North East,2015,12.15,28.554166666666664,44.36
North East,2016,19.78,28.450833333333335,44.67
North East,2017,16.32,28.501666666666665,44.65
North East,2018,17.009999999999998,28.356666666666666,44.22
North East,2019,17.78,28.535833333333333,45.48
North East,2020,17.7,28.05666666666667,44.38
North East,2021,14.5,28.489166666666666,44.01
North East,2022,15.54,27.758333333333336,44.74
North East,2023,11.19,29.613333333333333,43.79
North West,1990,26.3,25.150833333333335,39.94
North West,1991,30.65,24.873333333333335,40.68
North West,1992,31.31,24.14916666666667,39.99
North West,1993,30.05,24.644166666666667,39.7
North West,1994,39.87,24.121666666666666,40.29
North West,1995,34.69,24.0925,39.01
North West,1996,33.51,24.454166666666666,39.71
North West,1997,31.900000000000002,24.484166666666667,39.4
North West,1998,36.07,24.997500000000002,41.38
North West,1999,17.7,25.837500000000002,40.4
North West,2000,29.79,24.96083333333333,41.84
North West,2001,28.009999999999998,24.749166666666667,40.92
North West,2002,29.34,25.138333333333332,41.44
North West,2003,27.56,25.525000000000002,41.33
North West,2004,14.690000000000001,26.34166666666667,40.59
North West,2005,19.26,26.790000000000003,41.65
North West,2006,17.830000000000002,26.540833333333335,41.23
North West,2007,31.99,25.108333333333334,42.05
North West,2008,27.0,24.973333333333333,40.88
North West,2009,18.59,26.359166666666667,40.4
North West,2010,24.65,25.891666666666666,42.58
North West,2011,20.3,25.65833333333333,41.07
North West,2012,32.29,25.0675,41.33
North West,2013,14.91,26.53833333333333,40.61
North West,2014,22.59,26.33,41.19
North West,2015,23.76,25.6125,41.83
North West,2016,24.55,25.930833333333336,41.25
North West,2017,23.39,25.796666666666667,41.53
North West,2018,21.509999999999998,25.896666666666665,41.18
North West,2019,24.64,25.9525,41.15
North West,2020,43.32,24.685,40.07
North West,2021,79.12,24.593333333333334,41.33
North West,2022,35.72,23.5125,39.35
North West,2023,20.25,26.355,41.13
South East,1990,42.13,25.4325,33.55
South East,1991,42.62,25.3225,33.34
South East,1992,65.37,24.766666666666666,35.03
South East,1993,67.21000000000001,24.935,32.79
South East,1994,69.23,24.876666666666665,32.71
South East,1995,78.86,25.019166666666667,32.75
South East,1996,66.45,25.13,33.37
South East,1997,60.45,25.0125,32.69
South East,1998,50.4,25.636666666666667,35.01
South East,1999,37.21,25.5175,32.83
South East,2000,105.14999999999999,25.064999999999998,33.99
South East,2001,62.58,25.0175,32.47
South East,2002,58.25,25.2175,33.91
South East,2003,55.019999999999996,25.581666666666667,33.68
South East,2004,48.27,25.537499999999998,33.3
South East,2005,44.7,25.735833333333332,33.03
South East,2006,56.01,25.5975,33.45
South East,2007,75.45,25.168333333333333,33.05
South East,2008,42.95,25.268333333333334,32.24
South East,2009,45.18,25.728333333333335,33.25
South East,2010,59.55,25.814999999999998,33.98
South East,2011,55.089999999999996,25.243333333333336,32.41
South East,2012,53.25,25.30333333333333,32.38
South East,2013,56.83,25.49416666666667,33.03
South East,2014,36.72,25.77416666666667,33.22
South East,2015,42.4,25.536666666666665,33.22
South East,2016,56.1,25.918333333333333,35.48
South East,2017,59.33,25.85083333333333,33.08
South East,2018,55.769999999999996,25.708333333333332,34.08
South East,2019,59.84,25.9025,33.08
South East,2020,59.96,25.8125,34.05
South East,2021,49.830000000000005,25.8625,33.45
South East,2022,43.42,25.661666666666665,35.29
South East,2023,43.129999999999995,26.311666666666667,35.13
South South,1990,59.28,25.733333333333334,33.6
South South,1991,65.51,25.5175,32.16
South South,1992,110.78999999999999,25.129166666666666,33.46
South South,1993,101.39,25.305000000000003,32.7
South South,1994,118.87,25.287499999999998,32.92
South South,1995,122.39,25.520833333333332,32.69
South South,1996,106.38,25.5125,32.94
