Region,Year,Month,rainfall_mm,temp_avg_c,temp_max_c,temp_min_c
North Central,1990,1,0.01,25.21,33.83,16.04
North Central,1990,2,0.31,25.87,35.06,15.17
North Central,1990,3,0.23,27.12,36.53,16.8
North Central,1990,4,3.17,28.49,36.22,23.27
North Central,1990,5,4.71,26.74,32.4,22.36
North Central,1990,6,4.81,26.48,31.98,21.72
North Central,1990,7,6.44,24.95,30.74,20.94
North Central,1990,8,4.76,25.12,31.08,21.14
North Central,1990,9,5.89,25.5,30.76,20.84
North Central,1990,10,3.83,25.89,31.47,19.69
North Central,1990,11,0.39,26.22,32.58,20.65
North Central,1990,12,0.74,26.23,33.72,15.21
North Central,1991,1,0.01,25.27,35.1,12.65
North Central,1991,2,0.41,28.7,37.1,18.52
North Central,1991,3,0.75,29.31,38.27,22.45
North Central,1991,4,3.91,28.2,35.85,22.43
North Central,1991,5,6.62,26.75,32.98,20.72
North Central,1991,6,4.22,26.28,31.92,22.24
North Central,1991,7,10.79,24.93,30.14,21.07
North Central,1991,8,6.13,24.44,29.44,20.66
North Central,1991,9,5.61,25.53,31.11,21.45
North Central,1991,10,2.78,25.31,31.13,20.31
North Central,1991,11,0.05,25.81,32.9,18.49
North Central,1991,12,0.02,23.76,33.9,14.24
North Central,1992,1,0.0,23.31,34.82,10.17
North Central,1992,2,0.02,25.42,35.56,14.26
North Central,1992,3,0.87,28.44,36.81,17.08
North Central,1992,4,3.62,28.14,35.29,23.34
North Central,1992,5,6.08,27.01,33.83,22.78
North Central,1992,6,6.38,25.96,31.2,22.04
North Central,1992,7,8.69,24.62,30.1,21.07
North Central,1992,8,6.46,24.29,29.42,20.71
North Central,1992,9,9.72,24.65,30.85,20.57
North Central,1992,10,3.7,25.48,31.53,20.96
North Central,1992,11,0.4,24.28,32.08,13.66
North Central,1992,12,0.0,23.33,32.37,13.32
North Central,1993,1,0.0,23.01,33.32,11.85
North Central,1993,2,0.17,26.01,36.23,13.45
North Central,1993,3,1.03,27.54,36.23,13.77
North Central,1993,4,1.64,28.18,36.38,22.39
North Central,1993,5,4.9,27.3,33.05,23.29
North Central,1993,6,6.99,26.04,31.3,21.73
North Central,1993,7,8.11,24.84,30.39,21.26
North Central,1993,8,8.66,24.77,30.2,21.15
North Central,1993,9,8.41,25.14,30.56,21.14
North Central,1993,10,4.83,25.83,31.91,21.68
North Central,1993,11,0.76,26.1,31.97,19.78
North Central,1993,12,0.09,24.38,32.33,14.62
North Central,1994,1,0.33,25.11,33.92,14.1
North Central,1994,2,0.22,25.73,34.75,15.33
North Central,1994,3,1.31,28.04,35.79,21.36
North Central,1994,4,4.32,27.77,35.41,21.61
North Central,1994,5,4.82,26.81,32.7,22.65
North Central,1994,6,6.03,26.1,31.36,21.81
North Central,1994,7,8.33,24.94,29.58,21.33
North Central,1994,8,9.57,24.41,29.55,21.28
North Central,1994,9,11.65,24.86,31.03,21.28
North Central,1994,10,9.01,25.41,31.03,20.69
North Central,1994,11,0.52,24.24,30.83,15.7
North Central,1994,12,0.0,22.04,31.57,11.96
North Central,1995,1,0.0,23.99,32.17,14.26
North Central,1995,2,0.48,25.17,33.52,15.24
North Central,1995,3,1.87,27.56,35.04,20.42
North Central,1995,4,4.53,27.67,34.56,22.1
North Central,1995,5,4.79,26.68,32.13,22.43
North Central,1995,6,7.7,26.09,31.14,21.99
North Central,1995,7,11.26,24.83,30.2,20.93
North Central,1995,8,11.73,24.85,29.75,21.49
North Central,1995,9,10.24,25.45,31.1,21.19
North Central,1995,10,5.69,25.75,30.63,21.54
North Central,1995,11,1.08,24.34,31.12,15.83
North Central,1995,12,0.0,24.09,31.65,15.55
North Central,1996,1,0.01,25.12,33.05,16.16
North Central,1996,2,0.54,26.94,34.34,17.73
North Central,1996,3,1.65,27.47,34.24,22.13
North Central,1996,4,2.88,27.52,33.92,22.88
North Central,1996,5,6.18,27.06,33.27,22.01
North Central,1996,6,7.07,25.93,31.21,22.02
North Central,1996,7,7.82,24.91,30.48,20.6
North Central,1996,8,10.76,24.8,30.11,21.0
North Central,1996,9,9.04,25.07,30.68,20.75
North Central,1996,10,3.8,25.28,30.42,18.03
North Central,1996,11,0.05,23.86,31.39,15.58
North Central,1996,12,0.0,23.76,31.12,14.22
North Central,1997,1,0.06,24.34,32.25,13.9
North Central,1997,2,0.0,23.43,33.03,12.69
North Central,1997,3,3.44,26.8,34.79,17.09
North Central,1997,4,3.22,27.0,33.91,22.26
North Central,1997,5,6.33,26.52,31.55,21.95
North Central,1997,6,9.09,25.99,31.45,21.81
North Central,1997,7,6.11,25.22,30.86,20.87
North Central,1997,8,6.32,25.22,30.79,21.11
North Central,1997,9,6.18,26.05,31.26,21.89
