Region,Year,annual_rainfall_mm,annual_mean_temp_c,annual_max_temp_c
North Central,1990,38.25,26.151538461538465,36.53
North Central,1991,44.769999999999996,26.189230769230768,38.27
North Central,1992,49.78,25.410769230769233,36.81
North Central,1993,49.41,25.76076923076923,36.38
North Central,1994,60.81,25.454615384615387,35.79
North Central,1995,64.34,25.539230769230763,35.04
North Central,1996,53.959999999999994,25.643076923076926,34.34
North Central,1997,48.14,25.603846153846156,34.79
North Central,1998,45.74,26.390769230769234,38.72
North Central,1999,12.04,27.780769230769238,38.44
North Central,2000,58.18,26.846153846153843,40.62
North Central,2001,31.36,26.10230769230769,37.33
North Central,2002,41.239999999999995,26.76461538461539,40.42
North Central,2003,38.059999999999995,26.859230769230773,40.57
North Central,2004,30.360000000000003,27.17,40.21
North Central,2005,26.17,28.01846153846154,40.76
North Central,2006,33.45,27.599999999999998,42.15
North Central,2007,49.459999999999994,26.73692307692308,39.66
North Central,2008,44.07000000000001,26.18076923076923,37.07
North Central,2009,46.050000000000004,26.51384615384615,36.97
North Central,2010,43.16000000000001,26.75923076923077,37.66
North Central,2011,35.42,26.219230769230766,36.89
North Central,2012,46.580000000000005,26.456923076923076,38.06
North Central,2013,26.529999999999998,26.99307692307692,38.17
North Central,2014,31.200000000000003,27.726153846153846,39.48
North Central,2015,29.09,27.74846153846154,40.03
North Central,2016,43.150000000000006,27.440769230769227,40.54
North Central,2017,40.14,27.30461538461538,39.91
North Central,2018,37.14,27.00846153846154,38.71
North Central,2019,44.529999999999994,27.42076923076923,41.2
North Central,2020,46.18,26.672307692307697,38.98
North Central,2021,54.86,26.80538461538462,39.24
North Central,2022,46.58,25.659230769230767,35.27
North Central,2023,46.93,26.72307692307692,37.04
North East,1990,18.97,28.396153846153847,43.63
North East,1991,22.119999999999997,27.987692307692303,44.59
North East,1992,18.410000000000004,27.389999999999993,42.91
North East,1993,18.52,28.039230769230773,42.64
North East,1994,25.740000000000002,27.341538461538462,44.45
North East,1995,28.130000000000003,27.310769230769232,43.66
North East,1996,21.910000000000004,27.74153846153846,42.45
North East,1997,23.940000000000005,27.55461538461539,42.06
North East,1998,17.740000000000002,28.506153846153843,44.82
North East,1999,17.450000000000003,28.58230769230769,44.39
North East,2000,12.99,28.329230769230772,45.34
North East,2001,18.45,27.941538461538457,45.27
North East,2002,14.52,28.744615384615386,45.43
North East,2003,16.55,28.811538461538454,44.94
North East,2004,11.69,29.22846153846154,44.05
North East,2005,19.09,29.082307692307687,44.62
North East,2006,14.59,29.333076923076927,43.27
North East,2007,20.209999999999997,28.39538461538461,45.36
